bp_id;age;experience;devision;position;ans_1;ans_2;ans_3_1;yesno_3_1;com_ruk;ans_3_2;yesno_3_2;com_inst;ans_4;ans_5;ans_6;ans_7;ans_8;ans_9;ans_10;ans_11;ans_12_1;ans_12_2;ans_13;ans_14;ans_15;ans_16;ans_17;ans_18;ans_19;ans_20;ans_21;ans_22;ans_23;ans_24;ans_25;ans_26;ans_27;ans_28;ans_29;ans_30_1;ans_30_2;ans_31;ans_32;ans_33;ans_34;ans_35;ans_36;ans_37;ans_38;ans_39;ans_40;ans_41;ans_42;ans_43;ans_44;ans_45;com_nal;ans_46;ans_47;complain
3634508;36;6;1;БП;1;2;2;0;0;5;0;0;1;1;1;5;4;1;1;1;3;5;2;1;1;1;5;2;6;6;5;2;6;2;5;1;5;6;5;3;3;5;1;2;5;5;1;1;1;0;0;0;0;0;0;1;0;0;0;0
694688;34;13;4;СБ;2;2;4;0;0;6;0;0;1;1;2;6;6;4;1;1;5;6;1;1;4;3;6;5;5;2;3;1;5;1;6;6;6;3;2;3;1;2;2;1;2;6;5;0;1;0;0;1;1;0;0;1;После ночного рейса планируют ранний вылет. Это не исключение, а стандартная практика. Качественно выполнять свои профессиональные обязанности невозможно в силу физической усталости. ;1;1;0 
1456348;41;13;4;BS;3;4;4;0;0;6;0;0;2;3;2;6;5;5;1;3;4;6;2;2;4;5;5;4;5;5;3;4;5;2;6;4;6;6;6;3;1;2;1;4;3;4;3;0;0;1;0;0;0;0;0;1;0;1;0;0
2403408;34;8;5;СБ;4;1;4;1;Толковые руководители есть. Но есть отдельные "кадры", которые выбиваются из общей картины. Требуют выполнять то, в чем сами не разбираются. По факту иногда вводят в сильное заблуждение,  отсюда разночтения в понимании документации и действий ;5;0;0;2;2;2;5;5;3;2;2;4;5;3;2;2;3;5;5;4;5;5;2;5;3;5;5;5;4;4;3;3;5;3;2;3;5;3;0;1;1;1;0;1;0;1;1;Непонятна схема планирования. Нет равнозначности в часах при одинаковых показателях сотрудников. Не равнозначное планирование ;1;0;0 
1975367;24;2;5;BS;4;5;4;0;0;6;0;0;4;4;3;4;4;4;4;4;5;5;4;5;5;4;4;4;3;3;3;2;4;4;5;2;5;2;3;2;2;3;4;4;3;4;4;0;1;1;0;1;0;0;0;0;0;0;0;0
4010296;40;5;3;БП;3;5;4;0;0;5;0;0;2;3;2;5;6;5;2;4;6;6;5;2;3;4;5;4;4;2;2;2;5;2;4;3;5;4;2;3;1;3;1;5;3;6;5;0;1;0;0;1;0;0;0;0;0;0;0;0 
807866;26;4;5;БП;1;6;6;0;0;6;0;0;3;3;4;5;3;3;2;5;5;5;4;4;3;5;4;5;4;2;2;3;4;3;5;4;4;4;3;2;2;4;4;5;3;3;3;0;1;0;0;0;1;0;0;1;0;1;0;0
1491708;33;13;4;СБ;3;3;5;0;0;5;0;0;2;3;1;6;5;3;2;3;5;5;2;3;4;5;4;5;4;4;3;4;5;2;5;3;5;4;4;2;2;6;2;3;3;5;2;0;1;1;0;1;1;1;0;1;0;0;0;0
3115047;32;13;4;БП;2;5;3;0;0;6;0;0;2;5;2;5;5;5;1;2;5;5;1;2;5;2;5;2;5;5;2;5;5;2;5;5;5;1;5;5;1;5;2;1;5;5;2;0;0;0;0;1;0;0;0;1;Хорошие рейсы снимают, ставят рейс более с худшим налётном, что влияет на зарплату в дальнейшем ;0;0;0 
4397254;27;4;1;СБ;2;4;3;1;Не имеющее с реальностью прогнозирование, что влечёт за собой нерациональное распределение нагрузки на бортпроводников. ;6;0;0;3;3;4;5;6;4;1;3;3;6;3;5;3;4;5;5;4;5;3;2;4;1;5;4;6;3;3;4;1;4;2;5;3;4;4;0;1;0;0;1;0;0;0;1;Неравномерная нагрузка,  Неравнозначное планирование ;0;0;0 
258135;41;14;5;СБ;4;3;6;0;0;4;0;0;3;3;3;5;5;3;3;3;5;5;6;5;3;3;3;5;3;4;2;1;3;4;4;3;5;3;2;2;3;5;3;3;3;5;3;0;1;0;0;1;1;0;0;0;0;0;1;Принимать во внимание пожелания по выходным дням,отпусками и возможность заказывать периодически рейсы 
2108558;38;18;4;СБ;6;5;6;0;0;6;0;0;2;4;1;5;5;6;1;3;5;5;3;3;3;3;5;4;3;4;3;1;6;1;6;3;6;4;2;1;1;6;3;4;1;6;4;0;0;1;0;0;1;1;0;0;0;1;0;0 
1082118;33;6;3;БП;1;5;4;0;0;5;0;0;2;6;1;5;2;2;1;5;5;5;5;2;5;2;5;2;4;2;5;2;6;2;5;2;5;5;4;2;2;4;5;5;2;5;2;1;1;0;1;0;0;0;0;0;0;1;0;0 
434626;41;6;3;СБ;4;5;6;0;0;6;0;0;5;4;2;4;5;4;5;4;6;6;5;5;2;2;3;5;2;2;2;2;5;3;4;5;4;2;2;1;2;3;5;5;3;4;5;0;0;0;0;0;1;1;0;1;Все хорошо, только б не ставили так часто и только на сухих. ;0;1;Планировать на всех типах, если они есть у бп и не каждый день а с выходными 
3041329;28;0;2;БП;5;5;5;0;0;6;0;0;4;5;4;6;5;6;3;6;6;6;5;3;4;4;3;2;3;1;3;1;3;4;6;5;6;1;2;1;1;3;5;6;1;5;5;0;1;1;0;1;1;1;0;0;0;0;0;0 
955685;21;0;2;БП;6;5;6;0;0;6;0;0;5;6;1;6;5;6;5;6;5;5;6;5;6;4;2;5;2;1;2;1;2;5;6;5;6;1;2;1;1;2;5;6;1;6;1;0;1;1;0;1;1;1;0;0;0;0;0;0
4761771;25;0;2;БП;3;5;5;1;Я работаю в компании менее 2 месяцев, поэтому пока не могу делать однозначные выводы. Но до настоящего времени проблем по этому пункту не возникало. ;6;1;У меня не было возможности убедиться в его профессиональной компетентности. Но он всегда шёл навстречу и помогал в решении возникающих вопросов. ;4;6;6;6;6;3;2;5;6;6;5;5;4;5;6;5;3;1;1;2;2;5;6;3;5;4;2;2;1;2;5;5;1;6;3;1;0;0;0;1;0;1;0;1;Налёт недостаточно большой, в районе 70 часов и менее.  Часто ставят в короткие рейсы. В этом случае налёт очень маленький, соответственно, оплата тоже небольшая, а времени на рейс уходит много. Хотелось бы летать в эстафеты - в настоящее время у меня рейсы только разворотные. ;0;1;1 
1555856;23;3;2;BS;6;6;5;0;0;6;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;2;2;5;5;2;5;2;2;2;1;2;5;5;2;5;5;0;0;1;0;1;1;1;0;0;0;0;0;0 
2791216;36;3;2;БП;6;2;5;0;0;6;0;0;4;6;2;5;5;5;2;5;5;5;1;5;2;2;5;5;5;2;2;2;5;2;5;5;5;2;5;2;2;5;5;5;2;5;2;0;0;0;0;1;0;0;1;0;0;0;0;0
1421951;30;8;1;БП;3;3;3;0;0;5;0;0;2;1;1;5;2;5;1;1;3;6;1;1;5;5;3;5;5;5;5;2;6;2;6;3;5;2;3;5;1;6;1;2;5;1;5;1;1;0;0;0;1;0;0;0;0;1;0;0
614779;24;2;4;BS;2;2;5;0;0;6;0;0;2;6;1;5;5;6;1;4;5;5;5;5;5;5;6;6;4;6;5;2;5;1;5;6;6;3;2;3;1;5;2;2;3;6;6;0;1;0;0;1;1;0;0;1;Неравномерный налёт. Отсутствие выходных после ночных рейсов. Ранние явки после ночных рейсов.  Неравномерное распределение направлений. (Либо много коротких рейсов, либо много продолжительных рейсов). ;0;1;1 
4682532;21;0;3;БП;5;5;6;0;0;5;0;0;4;5;2;4;6;5;2;5;6;5;6;4;4;2;5;4;3;3;2;2;3;5;5;3;6;2;2;1;1;2;4;5;2;5;5;0;1;0;0;0;1;1;0;0;0;0;0;0 
4369467;38;5;1;СБ;5;5;6;0;0;6;0;0;5;4;2;5;6;6;2;5;6;6;6;5;2;5;5;5;2;2;2;1;2;5;6;5;5;2;2;2;2;2;5;5;1;5;5;0;0;1;0;1;1;1;0;0;0;0;0;0 
1481276;32;6;3;BS;3;5;5;0;0;4;0;0;3;3;3;4;3;4;1;5;5;5;5;2;3;5;5;4;5;2;2;2;5;5;4;4;4;2;4;2;2;3;3;5;4;4;4;0;1;0;0;0;0;0;0;0;0;0;0;0 
